Title,Price,Type,Location,Bath(s),Area,Purpose,Bedroom(s),Added,URL
2 Kanal Fully Furnished Masterpiece with Cinema at Top Location Near Raya Fairways,39.5 Crore,House,"DHA Defence, Lahore, Punjab",6,2 Kanal,For Sale,5,2 minutes ago,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_j_2_kanal_fully_furnished_masterpiece_with_cinema_at_top_location_near_raya_fairways-53037277-1618-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,1.15 Crore,House,"Park View City, Lahore, Punjab",5,3.5 Marla,For Sale,4,20 minutes ago,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52526215-1466-1.html
5 Marla Corner House For Sale,2.15 Crore,House,"Central Park Housing Scheme, Lahore, Punjab",4,5 Marla,For Sale,4,20 minutes ago,https://www.zameen.com/Property/lahore_central_park_housing_scheme_5_marla_corner_house_for_sale-53251998-1013-1.html
Brand New House For Sale In Sector S Askari 10,25 Crore,House,"Askari, Lahore, Punjab",7,1.5 Kanal,For Sale,7,20 minutes ago,https://www.zameen.com/Property/askari_askari_10_brand_new_house_for_sale_in_sector_s_askari_10-53251986-1011-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,1.55 Crore,House,"Park View City, Lahore, Punjab",5,5 Marla,For Sale,4,30 minutes ago,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52835382-1466-1.html
House Of 8 Marla In Low Cost - Block D For sale,2.9 Crore,House,"Bahria Orchard, Lahore, Punjab",6,8 Marla,For Sale,5,3 minutes ago,https://www.zameen.com/Property/low_cost_sector_low_cost_-_block_d_house_of_8_marla_in_low_cost_-_block_d_for_sale-53251399-8189-1.html
5 MARLA SUPER HOT LOCATION 100 FT WIDE BRAND NEW HOUSE FOR SALE IN DHA RAHBAR 11 BLOCK G,2.95 Crore,House,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,For Sale,3,4 minutes ago,https://www.zameen.com/Property/dha_11_rahbar_phase_2_dha_11_rahbar_phase_2_-_block_g_5_marla_super_hot_location_100_ft_wide_brand_new_house_for_sale_in_dha_rahbar_11_block_g-53249719-3721-1.html
PRIME LOCATION BRAND NEW BEAUTIFUL HOUSE 5 MARLA AVAILABLE FOR SALE IN BAHRIA ORCHARD,1.95 Crore,House,"Bahria Orchard, Lahore, Punjab",5,5 Marla,For Sale,3,10 minutes ago,https://www.zameen.com/Property/lahore_bahria_orchard_prime_location_brand_new_beautiful_house_5_marla_available_for_sale_in_bahria_orchard-53242979-1474-1.html
Reserve A House Of 9 Marla Now In Bahria Town - Jinnah Block,4.15 Crore,House,"Bahria Town, Lahore, Punjab",6,10 Marla,For Sale,5,11 minutes ago,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_jinnah_block_reserve_a_house_of_9_marla_now_in_bahria_town_-_jinnah_block-52826886-1804-1.html
Prominently-Located Prime Location 11 Marla House Available In Samanabad,7.5 Crore,House,"Samanabad, Lahore, Punjab",6,11 Marla,For Sale,6,11 minutes ago,https://www.zameen.com/Property/lahore_samanabad_prominently-located_prime_location_11_marla_house_available_in_samanabad-53249468-377-1.html
