query,title,channel,publish_date,url
Power BI,Your first 10 minutes of Power BI - A no-nonsense getting started tutorial for beginners,Chandoo,2022-09-20T08:00:02Z,https://www.youtube.com/watch?v=9tF1IrfLflg
Power BI,Power BI Tutorial for Beginners (2025),Kevin Stratvert,2025-06-10T07:00:27Z,https://www.youtube.com/watch?v=VaOhNqNtGGE
Power BI,Power BI Tutorial for Beginners,Kevin Stratvert,2023-06-06T07:00:07Z,https://www.youtube.com/watch?v=NNSHu0rkew8
Power BI,What is Power BI?,Microsoft Power BI,2018-06-26T01:02:06Z,https://www.youtube.com/watch?v=yKTSLffVGbk
Power BI,Power BI for Data Analytics - Full Course for Beginners,Luke Barousse,2025-06-11T12:00:29Z,https://www.youtube.com/watch?v=FwjaHCVNBWA
Machine Learning,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,Simplilearn,2018-09-19T14:57:02Z,https://www.youtube.com/watch?v=ukzFI9rgwfU
Machine Learning,Machine Learning Explained in 100 Seconds,Fireship,2021-09-09T17:31:56Z,https://www.youtube.com/watch?v=PeMlggyqz0Y
Machine Learning,AI vs ML vs DL vs DS: What&#39;s the Difference?,GeeksforGeeks,2025-01-25T03:30:15Z,https://www.youtube.com/watch?v=PopKlyqTPAI
Machine Learning,Machine Learning for Everybody – Full Course,freeCodeCamp.org,2022-09-26T16:00:28Z,https://www.youtube.com/watch?v=i_LwzRVP7bg
Machine Learning,What is Machine Learning?,IBM Technology,2021-07-14T14:07:15Z,https://www.youtube.com/watch?v=9gGnTQTYNaE
Deep Learning,Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,Simplilearn,2019-06-03T14:30:00Z,https://www.youtube.com/watch?v=6M5VXKLf4D4
Deep Learning,Deep Learning Crash Course for Beginners,freeCodeCamp.org,2020-07-30T13:30:02Z,https://www.youtube.com/watch?v=VyWAvY2CF9c
Deep Learning,"AI, Machine Learning, Deep Learning and Generative AI Explained",IBM Technology,2024-08-05T11:00:52Z,https://www.youtube.com/watch?v=qYNweeDHiyU
Deep Learning,Machine Learning vs Deep Learning,IBM Technology,2022-03-31T11:00:32Z,https://www.youtube.com/watch?v=q6kJ71tEYqM
